t,U
8.499136364,3.749691603
8.527431818,4.535961417
8.548181818,5.327944762
8.578363636,6.150693276
8.608545455,7.139573702
8.634954545,7.988692361
8.661363636,8.737604469
8.687772727,9.444324347
8.712295455,10.19775705
8.738704545,10.86680529
8.772659091,11.4590034
8.814159091,11.67188239
8.848113636,11.19228822
8.87075,10.45271868
8.876409091,9.766040112
8.895272727,9.054046206
8.902818182,8.373696473
8.914136364,7.424371264
8.929227273,6.395935622
8.936772727,5.378048037
8.944318182,4.550025494
8.955636364,3.500493736
8.969469697,2.503702267
8.977015152,1.586021232
8.985818182,0.8265610651
8.989590909,-0.1508922978
9.006568182,-1.019349063
9.017886364,-1.546751956
9.022287879,-2.42224076
9.031090909,-3.11313855
9.042409091,-3.888420804
9.074477273,-4.834869269
9.115977273,-4.869390186
9.157477273,-4.268150887
9.198977273,-3.825132457
9.240477273,-3.523074436
9.281977273,-3.44252563
9.323477273,-3.23540013
9.364977273,-2.982246741
9.406477273,-2.683065463
9.447977273,-2.435665561
9.489477273,-2.314842352
9.530977273,-2.061688963
9.572477273,-1.831549519
9.613977273,-1.831549519
9.655477273,-1.78552163
9.696977273,-1.704972824
9.738477273,-1.658944935
9.779977273,-1.57839613
9.821477273,-1.647437963
9.862977273,-1.704972824
9.904477273,-1.658944935
9.945977273,-1.57839613
9.987477273,-1.509354296
10.01811364,-1.57839613
10.05961364,-1.57839613
10.10111364,-1.486340352
10.14261364,-1.37127063
10.18411364,-1.161268387
10.22561364,-0.9138684839
10.26711364,-0.7240034422
10.30861364,-0.3126291851
10.3522096,0.1233572069
10.38972727,0.5829009282
10.42179545,1.319306054
10.44631818,2.113424126
10.47272727,2.899254437
10.49913636,3.749691603
10.52743182,4.535961417
10.54818182,5.327944762
10.57836364,6.150693276
10.60854545,7.139573702
10.63495455,7.988692361
10.66136364,8.737604469
10.68777273,9.444324347
10.71229545,10.19775705
10.73870455,10.86680529
10.77265909,11.4590034
10.81415909,11.67188239
10.84811364,11.19228822
10.87075,10.45271868
10.87640909,9.766040112
10.89527273,9.054046206
10.90281818,8.373696473
10.91413636,7.424371264
10.92922727,6.395935622
10.93677273,5.378048037
10.94431818,4.550025494
10.95563636,3.500493736
10.9694697,2.503702267
10.97701515,1.586021232
10.98581818,0.8265610651
10.98959091,-0.1508922978
11.00656818,-1.019349063
11.01788636,-1.546751956
11.02228788,-2.42224076
11.03109091,-3.11313855
11.04240909,-3.888420804
11.07447727,-4.834869269
11.11597727,-4.869390186
11.15747727,-4.268150887
11.19897727,-3.825132457
11.24047727,-3.523074436
11.28197727,-3.44252563
11.32347727,-3.23540013
11.36497727,-2.982246741
11.40647727,-2.683065463
11.44797727,-2.435665561
11.48947727,-2.314842352
11.53097727,-2.061688963
11.57247727,-1.831549519
11.61397727,-1.831549519
11.65547727,-1.78552163
11.69697727,-1.704972824
11.73847727,-1.658944935
11.77997727,-1.57839613
11.82147727,-1.647437963
11.86297727,-1.704972824
11.90447727,-1.658944935
11.94597727,-1.57839613
11.98747727,-1.509354296
12.01811364,-1.57839613
12.05961364,-1.57839613
12.10111364,-1.486340352
12.14261364,-1.37127063
12.18411364,-1.161268387
12.22561364,-0.9138684839
12.26711364,-0.7240034422
12.30861364,-0.3126291851
12.3522096,0.1233572069
12.38972727,0.5829009282
12.42179545,1.319306054
12.44631818,2.113424126
12.47272727,2.899254437
12.49913636,3.749691603
12.52743182,4.535961417
12.54818182,5.327944762
12.57836364,6.150693276
12.60854545,7.139573702
12.63495455,7.988692361
12.66136364,8.737604469
12.68777273,9.444324347
12.71229545,10.19775705
12.73870455,10.86680529
12.77265909,11.4590034
12.81415909,11.67188239
12.84811364,11.19228822
12.87075,10.45271868
12.87640909,9.766040112
12.89527273,9.054046206
12.90281818,8.373696473
12.91413636,7.424371264
12.92922727,6.395935622
12.93677273,5.378048037
12.94431818,4.550025494
12.95563636,3.500493736
12.9694697,2.503702267
12.97701515,1.586021232
12.98581818,0.8265610651
12.98959091,-0.1508922978
13.00656818,-1.019349063
13.01788636,-1.546751956
13.02228788,-2.42224076
13.03109091,-3.11313855
13.04240909,-3.888420804
13.07447727,-4.834869269
13.11597727,-4.869390186
13.15747727,-4.268150887
13.19897727,-3.825132457
13.24047727,-3.523074436
13.28197727,-3.44252563
13.32347727,-3.23540013
13.36497727,-2.982246741
13.40647727,-2.683065463
13.44797727,-2.435665561
13.48947727,-2.314842352
13.53097727,-2.061688963
13.57247727,-1.831549519
13.61397727,-1.831549519
13.65547727,-1.78552163
13.69697727,-1.704972824
13.73847727,-1.658944935
13.77997727,-1.57839613
13.82147727,-1.647437963
13.86297727,-1.704972824
13.90447727,-1.658944935
13.94597727,-1.57839613
13.98747727,-1.509354296
14.01811364,-1.57839613
14.05961364,-1.57839613
14.10111364,-1.486340352
14.14261364,-1.37127063
14.18411364,-1.161268387
14.22561364,-0.9138684839
14.26711364,-0.7240034422
14.30861364,-0.3126291851
14.3522096,0.1233572069
14.38972727,0.5829009282
14.42179545,1.319306054
14.44631818,2.113424126
14.47272727,2.899254437
14.49913636,3.749691603
14.52743182,4.535961417
14.54818182,5.327944762
14.57836364,6.150693276
14.60854545,7.139573702
14.63495455,7.988692361
14.66136364,8.737604469
14.68777273,9.444324347
14.71229545,10.19775705
14.73870455,10.86680529
14.77265909,11.4590034
14.81415909,11.67188239
14.84811364,11.19228822
14.87075,10.45271868
14.87640909,9.766040112
14.89527273,9.054046206
14.90281818,8.373696473
14.91413636,7.424371264
14.92922727,6.395935622
14.93677273,5.378048037
14.94431818,4.550025494
14.95563636,3.500493736
14.9694697,2.503702267
14.97701515,1.586021232
14.98581818,0.8265610651
14.98959091,-0.1508922978
15.00656818,-1.019349063
15.01788636,-1.546751956
15.02228788,-2.42224076
15.03109091,-3.11313855
15.04240909,-3.888420804
15.07447727,-4.834869269
15.11597727,-4.869390186
15.15747727,-4.268150887
15.19897727,-3.825132457
15.24047727,-3.523074436
15.28197727,-3.44252563
15.32347727,-3.23540013
15.36497727,-2.982246741
15.40647727,-2.683065463
15.44797727,-2.435665561
15.48947727,-2.314842352
15.53097727,-2.061688963
